68,89,12,68,
68,91,12,75,
68,93,12,77,
68,100,13,82,
68,103,12,88,
68,107,13,94,
87,112,11,92,
87,112,10,91,
87,115,11,95,
87,120,12,101,
87,125,14,98,
87,123,17,95,
87,120,16,92,
86,123,17,86,
86,119,19,82,
87,115,23,80,
85,111,26,84,
86,108,28,92,
86,111,27,102,
87,112,29,100,
87,116,27,95,
87,120,25,95,
87,118,25,92,
88,129,21,87,
88,135,18,85,
88,134,16,88,
87,133,17,96,
87,139,19,98,
87,139,21,97,
87,135,26,91,
87,130,30,89,
88,134,32,82,
90,134,34,75,
90,130,40,74,
90,127,38,78,
90,130,34,80,
89,123,31,83,
91,126,29,80,
92,120,28,73,
92,119,27,71,
95,118,26,69,
95,115,25,71,
95,120,24,74,
95,127,25,76,
97,133,25,75,
97,137,26,72,
94,132,30,71,
94,129,32,72,
94,129,38,68,
94,129,36,72,
95,128,37,71,
95,131,34,73,
95,134,33,76,
95,133,33,76,
95,134,31,77,
95,130,25,82,
134,132,23,76,
139,132,22,80,
139,136,23,94,
139,139,22,97,
139,149,25,101,
139,144,24,96,
139,142,29,98,
142,147,31,96,
142,151,39,87,
142,157,41,94,
142,160,42,102,
143,157,40,105,
143,162,43,107,
146,170,39,104,
146,177,38,100,
146,176,40,101,
146,176,38,102,
151,168,34,109,
151,166,34,110,
153,168,30,113,
151,168,27,120,
151,174,27,125,
151,177,32,123,
151,187,36,130,
151,198,37,117,
156,200,41,114,
164,200,47,110,
164,200,47,109,
164,207,45,110,
164,206,44,113,
163,203,47,118,
163,201,51,118,
163,200,53,120,
163,198,49,119,
165,194,47,119,
165,193,48,121,
165,189,48,122,
165,188,48,130,
164,180,44,133,
164,176,48,136,
163,183,53,140,
164,190,61,139,
164,192,64,128,
164,189,63,123,
161,201,67,119,
162,203,69,126,
162,207,69,136,
162,218,66,141,
162,228,64,141,
162,228,65,140,
162,220,61,141,
164,223,57,142,
164,223,56,144,
165,216,56,152,
165,207,56,162,
166,187,53,171,
166,179,56,162,
166,172,60,154,
167,165,59,142,
166,161,56,136,
166,166,59,131,
166,170,59,129,
166,180,59,128,
159,188,68,129,
159,191,71,132,
160,192,76,134,
160,194,76,131,
158,199,76,140,
159,208,75,139,
160,208,75,137,
160,219,70,134,
161,219,67,146,
162,212,69,148,
162,201,68,152,
162,182,62,148,
148,185,59,151,
150,187,58,151,
151,196,61,149,
151,196,63,150,
151,189,70,148,
151,190,76,143,
151,192,80,143,
149,185,76,146,
149,185,84,146,
147,194,87,146,
148,203,81,154,
148,210,82,156,
148,215,83,158,
148,206,83,166,
150,204,84,172,
150,192,77,170,
150,196,75,180,
151,201,72,185,
151,189,74,196,
152,184,73,198,
152,179,73,183,
152,170,71,171,
153,166,70,160,
153,161,78,150,
153,161,83,139,
116,160,82,141,
117,167,87,137,
118,172,89,140,
118,186,97,142,
119,188,107,139,
119,192,103,139,
120,197,106,141,
121,188,102,141,
122,187,95,136,
126,192,95,147,
124,196,96,159,
124,201,89,162,
124,202,88,156,
126,190,91,148,
127,177,91,136,
127,171,94,127,
129,162,98,119,
131,161,101,123,
131,170,105,125,
133,163,114,127,
132,165,118,126,
134,170,120,130,
134,178,111,126,
136,186,107,126,
137,177,106,133,
133,182,109,140,
138,191,107,147,
138,191,113,155,
139,183,107,165,
139,178,105,165,
138,177,104,170,
140,175,107,171,
140,159,105,170,
142,157,107,167,
142,165,111,163,
142,174,112,159,
143,165,114,158,
143,168,127,161,
144,168,133,163,
145,177,132,161,
145,177,126,163,
147,179,126,169,
146,173,122,172,
147,171,123,184,
147,162,126,189,
149,160,137,192,
149,161,146,201,
150,157,142,219,
151,160,147,221,
151,166,149,227,
145,165,143,210,
146,170,146,199,
146,172,148,193,
147,175,149,200,
148,172,146,203,
149,167,152,202,
149,172,151,201,
151,168,154,207,
153,160,157,213,
154,165,158,213,
155,168,157,216,
157,166,146,211,
159,166,141,209,
160,158,147,214,
161,162,154,221,
163,164,158,230,
164,158,160,232,
166,164,162,237,
167,155,162,237,
167,154,156,218,
169,153,156,205,
169,164,157,201,
171,165,163,192,
171,157,155,192,
173,159,157,196,
170,165,161,192,
173,164,167,196,
176,172,167,201,
176,168,169,216,
178,159,170,217,
178,157,177,223,
180,151,180,237,
182,141,181,248,
184,138,178,252,
184,136,174,251,
185,133,184,250,
188,136,182,234,
189,141,190,234,
190,149,192,230,
192,148,190,219,
191,152,186,211,
193,156,186,220,
192,150,180,213,
194,147,182,213,
194,139,171,218,
194,135,163,229,
195,127,164,243,
196,128,160,247,
199,137,160,249,
200,142,170,262,
192,142,169,271,
193,137,172,277,
194,132,177,277,
196,128,181,271,
196,114,171,274,
197,106,171,270,
200,101,178,263,
202,106,177,247,
202,107,168,242,
204,108,165,244,
201,110,166,244,
209,105,167,258,
208,107,164,265,
211,115,172,267,
212,119,182,266,
212,130,188,275,
213,133,189,281,
214,133,197,294,
215,120,193,293,
216,118,191,305,
210,114,188,304,
208,105,183,312,
206,101,183,308,
201,100,183,297,
196,94,178,287,
188,86,164,261,
181,84,156,253,
176,85,160,234,
172,90,159,229,
167,94,156,225,
159,99,156,232,
156,106,154,237,
148,109,148,244,
